id,short_name,name,lat centre,lon centre,lwl_data,lwe_data,lswt_data,lic_data,lwlr_data
300014387,HYLA00014387,None,42.7681,141.3486,False,False,True,True,True
300014405,HYLA00014405,None,42.6014,140.8958,False,False,True,True,True
300014434,HYLA00014434,None,41.9625,24.1792,False,False,True,True,True
300014478,HYLA00014478,None,41.2042,23.1375,False,False,True,True,True
300014495,HYLA00014495,None,40.9542,46.1042,False,False,True,True,True
300014499,HYLA00014499,None,40.9292,19.4958,False,False,True,True,True
300014510,HYLA00014510,None,40.7208,30.2792,False,False,True,True,True
300014514,HYLA00014514,Volvi,40.6569,23.5486,False,False,True,True,True
300014556,HYLA00014556,None,40.0958,77.3292,False,False,True,True,True
300014572,HYLA00014572,None,39.7208,79.0125,False,False,True,True,True
300014629,HYLA00014629,None,39.0958,109.9042,False,False,True,True,True
300014651,HYLA00014651,None,38.9208,64.6625,False,False,True,True,True
300014657,HYLA00014657,None,38.8625,42.2958,False,False,True,True,True
300014660,HYLA00014660,None,38.7792,64.2542,False,False,True,True,True
300014663,HYLA00014663,None,38.7792,77.2458,False,False,True,True,True
300014682,HYLA00014682,Hazar,38.5014,39.4375,False,False,True,True,True
300014723,HYLA00014723,None,38.0042,-0.7292,False,False,True,True,True
300014741,HYLA00014741,None,37.5542,29.6792,False,False,True,True,True
300014784,HYLA00014784,None,37.0819,35.2903,False,False,True,True,True
300014787,HYLA00014787,None,37.0125,100.5625,False,False,True,True,True
300014802,HYLA00014802,None,36.9375,28.6819,False,False,True,True,True
300014804,HYLA00014804,None,36.8458,8.3958,False,False,True,True,True
300014875,HYLA00014875,None,35.6958,87.2792,False,False,True,True,True
300014878,HYLA00014878,None,35.6069,90.6625,False,False,True,True,True
300014882,HYLA00014882,None,35.5708,10.9625,False,False,True,True,True
300014891,HYLA00014891,None,35.4486,132.9514,False,False,True,True,True
300014900,HYLA00014900,None,35.2875,87.2958,False,False,True,True,True
300014904,HYLA00014904,None,35.3042,99.1792,False,False,True,True,True
300014930,HYLA00014930,None,34.8792,81.9625,False,False,True,True,True
